group,nnm,nm
점,경부선시점,경부선시점
IC,구서IC,구서
IC,영락IC,영락
TG,부산TG,부산
IC,노포IC,노포
JC,노포JC,노포
휴게소,양산휴게소(서울),양산
JC,양산JC,양산
IC,양산IC,양산
IC,통도사 하이패스IC,통도사 하이패스
IC,통도사IC,통도사
JC,서울주JC,서울주
IC,서울산IC,서울산
JC,언양JC,언양
휴게소,언양휴게소(서울),언양
IC,활천IC,활천
IC,경주IC,경주
휴게소,건천휴게소(서울),건천
IC,건천IC,건천
JC,영천JC,영천
IC,영천IC,영천
휴게소,경산휴게소(서울),경산
IC,경산IC,경산
JC,동대구JC,동대구
JC,도동JC,도동
IC,북대구IC,북대구
JC,금호JC,금호
JC,금호JC,금호
IC,칠곡물류IC,칠곡물류
IC,왜관IC,왜관
휴게소,칠곡휴게소(서울),칠곡
IC,남구미IC,남구미
IC,구미IC,구미
JC,김천JC,김천
IC,동김천IC,동김천
휴게소,김천휴게소(서울),김천
IC,김천IC,김천
IC,추풍령IC,추풍령
휴게소,추풍령휴게소(서울),추풍령
터널,황간터널,황간
IC,황간IC,황간
휴게소,황간휴게소(서울),황간
IC,영동IC,영동
터널,영동1터널,영동1
터널,옥천4터널,옥천4
터널,옥천2터널,옥천2
IC,금강IC,금강
휴게소,금강휴게소(서울),금강
터널,옥천3터널,옥천3
터널,옥천1터널,옥천1
휴게소,옥천휴게소(서울),옥천
터널,삼양터널,삼양
IC,옥천IC,옥천
JC,비룡JC,비룡
터널,대전터널,대전
IC,대전IC,대전
JC,회덕JC,회덕
휴게소,신탄진휴게소(서울),신탄진
IC,신탄진IC,신탄진
휴게소,죽암휴게소(서울),죽암
IC,남청주IC,남청주
JC,청주JC,청주
JC,청주JC,청주
JC,남이JC,남이
IC,청주IC,청주
IC,옥산IC,옥산
JC,옥산JC,옥산
휴게소,청주휴게소(서울),청주
IC,목천IC,목천
JC,천안JC,천안
휴게소,천안(삼)휴게소(서울),천안(삼)
IC,천안IC,천안
IC,북천안IC,북천안
휴게소,입장휴게소(서울),입장
IC,안성IC,안성
IC,안성IC,안성
JC,안성JC,안성
휴게소,안성휴게소(서울),안성
,남사,
IC,오산IC,오산
JC,동탄JC,동탄
IC,기흥동탄IC,기흥동탄
IC,기흥IC,기흥
IC,수원신갈IC,수원신갈
JC,신갈JC,신갈
휴게소,죽전휴게소,죽전
TG,서울TG,서울
IC,판교IC,판교
JC,판교JC,판교
IC,대왕판교IC,대왕판교
JC,금토JC,금토
,달래내,
IC,양재IC,양재
IC,서초IC,서초
IC,반포IC,반포
IC,잠원IC,잠원
IC,한남IC,한남
점,경부선시점,경부선시점
IC,구서IC,구서
IC,영락IC,영락
TG,부산TG,부산
IC,노포IC,노포
JC,노포JC,노포
JC,양산JC,양산
IC,양산IC,양산
휴게소,통도사휴게소(부산),통도사
IC,통도사 하이패스IC,통도사 하이패스
IC,통도사IC,통도사
JC,서울주JC,서울주
IC,서울산IC,서울산
JC,언양JC,언양
IC,활천IC,활천
휴게소,경주휴게소(부산),경주
IC,경주IC,경주
휴게소,건천휴게소(부산),건천
IC,건천IC,건천
JC,영천JC,영천
IC,영천IC,영천
휴게소,평사휴게소(부산),평사
IC,경산IC,경산
JC,동대구JC,동대구
JC,도동JC,도동
IC,북대구IC,북대구
JC,금호JC,금호
JC,금호JC,금호
IC,칠곡물류IC,칠곡물류
IC,왜관IC,왜관
휴게소,칠곡휴게소(부산),칠곡
IC,남구미IC,남구미
IC,구미IC,구미
JC,김천JC,김천
IC,동김천IC,동김천
휴게소,김천휴게소(부산),김천
IC,김천IC,김천
IC,추풍령IC,추풍령
휴게소,추풍령휴게소(부산),추풍령
터널,황간터널,황간
IC,황간IC,황간
휴게소,황간휴게소(부산),황간
IC,영동IC,영동
터널,영동3터널,영동3
터널,영동2터널,영동2
,청성,
터널,영동1터널,영동1
터널,옥천4터널,옥천4
터널,옥천3터널,옥천3
터널,옥천2터널,옥천2
IC,금강IC,금강
휴게소,금강휴게소(부산),금강
터널,옥천1터널,옥천1
휴게소,옥천휴게소(부산),옥천
터널,삼양터널,삼양
IC,옥천IC,옥천
JC,비룡JC,비룡
터널,대전터널,대전
IC,대전IC,대전
JC,회덕JC,회덕
IC,신탄진IC,신탄진
휴게소,죽암휴게소(부산),죽암
IC,남청주IC,남청주
JC,청주JC,청주
JC,청주JC,청주
JC,남이JC,남이
IC,청주IC,청주
IC,옥산IC,옥산
휴게소,옥산휴게소(부산),옥산
JC,옥산JC,옥산
휴게소,천안휴게소(부산),천안
IC,목천IC,목천
JC,천안JC,천안
IC,천안IC,천안
휴게소,망향휴게소(부산),망향
IC,북천안IC,북천안
,입장,
IC,안성IC,안성
IC,안성IC,안성
휴게소,안성휴게소(부산),안성
휴게소,안성휴게소(부산),안성
JC,안성JC,안성
,남사,
IC,오산IC,오산
JC,동탄JC,동탄
IC,기흥동탄IC,기흥동탄
IC,기흥IC,기흥
휴게소,기흥휴게소(부산),기흥
IC,수원신갈IC,수원신갈
JC,신갈JC,신갈
,죽전,
TG,서울TG,서울
IC,판교IC,판교
JC,판교JC,판교
IC,대왕판교IC,대왕판교
JC,금토JC,금토
,달래내,
,만남의광장,
IC,양재IC,양재
IC,서초IC,서초
IC,반포IC,반포
IC,잠원IC,잠원
IC,한남IC,한남
IC,서순천IC,서순천
IC,순천IC,순천
JC,순천JC,순천
IC,광양IC,광양
IC,동광양IC,동광양
터널,광양터널,광양
IC,옥곡IC,옥곡
IC,진월IC,진월
IC,진월IC,진월
휴게소,섬진강휴게소(부산),섬진강
휴게소,섬진강휴게소(부산),섬진강
터널,하동터널,하동
터널,하동터널,하동
IC,하동IC,하동
IC,진교IC,진교
터널,진교터널,진교
IC,곤양IC,곤양
터널,사천터널,사천
휴게소,사천휴게소(부산),사천
IC,축동IC,축동
IC,사천IC,사천
JC,진주JC,진주
IC,진주IC,진주
휴게소,진주휴게소(부산),진주
IC,문산IC,문산
터널,진주1터널,진주1
터널,진주2터널,진주2
IC,진성IC,진성
IC,지수IC,지수
IC,군북IC,군북
휴게소,함안휴게소(부산),함안
IC,장지IC,장지
IC,함안IC,함안
JC,산인JC,산인
터널,함안1터널,함안1
JC,칠원JC,칠원
JC,칠원JC,칠원
터널,함안2터널,함안2
터널,함안2터널,함안2
터널,창원1터널(서측),창원1
터널,창원1터널(동측),창원1
터널,창원1터널(동측),창원1
터널,창원1터널,창원1
터널,창원1터널,창원1
IC,북창원IC,북창원
JC,창원JC,창원
터널,창원2터널,창원2
IC,동창원IC,동창원
JC,진영JC,진영
휴게소,진영휴게소(부산),진영
터널,김해터널,김해
IC,진례IC,진례
JC,진례JC,진례
JC,냉정JC,냉정
JC,냉정JC,냉정
IC,서김해IC,서김해
IC,동김해IC,동김해
JC,김해JC,김해
TG,북부산TG,북부산
JC,대저JC,대저
IC,덕천IC,덕천
IC,구포IC,구포
IC,서순천IC,서순천
IC,순천IC,순천
JC,순천JC,순천
IC,광양IC,광양
IC,동광양IC,동광양
터널,광양터널,광양
IC,옥곡IC,옥곡
IC,진월IC,진월
IC,진월IC,진월
휴게소,섬진강휴게소(순천),섬진강
